date,Startcoin,isPartial
2016-12-25,0,False
2017-01-01,5,False
2017-01-08,9,False
2017-01-15,9,False
2017-01-22,0,False
2017-01-29,0,False
2017-02-05,18,False
2017-02-12,4,False
2017-02-19,5,False
2017-02-26,0,False
2017-03-05,4,False
2017-03-12,4,False
2017-03-19,0,False
2017-03-26,9,False
2017-04-02,4,False
2017-04-09,9,False
2017-04-16,9,False
2017-04-23,4,False
2017-04-30,5,False
2017-05-07,18,False
2017-05-14,5,False
2017-05-21,15,False
2017-05-28,19,False
2017-06-04,23,False
2017-06-11,34,False
2017-06-18,19,False
2017-06-25,25,False
2017-07-02,25,False
2017-07-09,10,False
2017-07-16,20,False
2017-07-23,14,False
2017-07-30,5,False
2017-08-06,14,False
2017-08-13,9,False
2017-08-20,5,False
2017-08-27,0,False
2017-09-03,14,False
2017-09-10,9,False
2017-09-17,18,False
2017-09-24,37,False
2017-10-01,0,False
2017-10-08,14,False
2017-10-15,9,False
2017-10-22,18,False
2017-10-29,27,False
2017-11-05,9,False
2017-11-12,26,False
2017-11-19,18,False
2017-11-26,17,False
2017-12-03,22,False
2017-12-10,31,False
2017-12-17,100,True
