date,First Bitcoin,isPartial
2016-12-25,6,False
2017-01-01,12,False
2017-01-08,7,False
2017-01-15,5,False
2017-01-22,5,False
2017-01-29,3,False
2017-02-05,5,False
2017-02-12,6,False
2017-02-19,3,False
2017-02-26,6,False
2017-03-05,6,False
2017-03-12,5,False
2017-03-19,6,False
2017-03-26,3,False
2017-04-02,4,False
2017-04-09,6,False
2017-04-16,6,False
2017-04-23,6,False
2017-04-30,9,False
2017-05-07,7,False
2017-05-14,10,False
2017-05-21,22,False
2017-05-28,12,False
2017-06-04,16,False
2017-06-11,15,False
2017-06-18,9,False
2017-06-25,9,False
2017-07-02,8,False
2017-07-09,8,False
2017-07-16,10,False
2017-07-23,11,False
2017-07-30,15,False
2017-08-06,17,False
2017-08-13,29,False
2017-08-20,26,False
2017-08-27,19,False
2017-09-03,25,False
2017-09-10,22,False
2017-09-17,17,False
2017-09-24,12,False
2017-10-01,15,False
2017-10-08,21,False
2017-10-15,24,False
2017-10-22,23,False
2017-10-29,31,False
2017-11-05,30,False
2017-11-12,31,False
2017-11-19,30,False
2017-11-26,73,False
2017-12-03,100,False
2017-12-10,97,False
2017-12-17,86,True
