date,High Gain,isPartial
2016-12-25,69,False
2017-01-01,83,False
2017-01-08,88,False
2017-01-15,93,False
2017-01-22,95,False
2017-01-29,97,False
2017-02-05,100,False
2017-02-12,94,False
2017-02-19,94,False
2017-02-26,94,False
2017-03-05,94,False
2017-03-12,95,False
2017-03-19,92,False
2017-03-26,90,False
2017-04-02,96,False
2017-04-09,86,False
2017-04-16,94,False
2017-04-23,94,False
2017-04-30,95,False
2017-05-07,85,False
2017-05-14,81,False
2017-05-21,87,False
2017-05-28,79,False
2017-06-04,88,False
2017-06-11,80,False
2017-06-18,89,False
2017-06-25,77,False
2017-07-02,90,False
2017-07-09,94,False
2017-07-16,85,False
2017-07-23,82,False
2017-07-30,89,False
2017-08-06,87,False
2017-08-13,75,False
2017-08-20,77,False
2017-08-27,84,False
2017-09-03,87,False
2017-09-10,79,False
2017-09-17,83,False
2017-09-24,90,False
2017-10-01,84,False
2017-10-08,92,False
2017-10-15,92,False
2017-10-22,82,False
2017-10-29,89,False
2017-11-05,86,False
2017-11-12,88,False
2017-11-19,76,False
2017-11-26,90,False
2017-12-03,95,False
2017-12-10,84,False
2017-12-17,80,True
