date,UGAIN,isPartial
2016-12-25,37,False
2017-01-01,35,False
2017-01-08,66,False
2017-01-15,64,False
2017-01-22,65,False
2017-01-29,0,False
2017-02-05,32,False
2017-02-12,0,False
2017-02-19,0,False
2017-02-26,32,False
2017-03-05,31,False
2017-03-12,63,False
2017-03-19,32,False
2017-03-26,33,False
2017-04-02,0,False
2017-04-09,33,False
2017-04-16,97,False
2017-04-23,64,False
2017-04-30,66,False
2017-05-07,65,False
2017-05-14,0,False
2017-05-21,70,False
2017-05-28,0,False
2017-06-04,0,False
2017-06-11,0,False
2017-06-18,0,False
2017-06-25,0,False
2017-07-02,71,False
2017-07-09,35,False
2017-07-16,35,False
2017-07-23,68,False
2017-07-30,34,False
2017-08-06,0,False
2017-08-13,0,False
2017-08-20,0,False
2017-08-27,100,False
2017-09-03,0,False
2017-09-10,32,False
2017-09-17,33,False
2017-09-24,0,False
2017-10-01,33,False
2017-10-08,0,False
2017-10-15,33,False
2017-10-22,0,False
2017-10-29,64,False
2017-11-05,63,False
2017-11-12,0,False
2017-11-19,0,False
2017-11-26,0,False
2017-12-03,64,False
2017-12-10,32,False
2017-12-17,90,True
