date,Renos,isPartial
2016-12-25,43,False
2017-01-01,18,False
2017-01-08,14,False
2017-01-15,11,False
2017-01-22,10,False
2017-01-29,13,False
2017-02-05,11,False
2017-02-12,12,False
2017-02-19,11,False
2017-02-26,9,False
2017-03-05,12,False
2017-03-12,10,False
2017-03-19,10,False
2017-03-26,13,False
2017-04-02,10,False
2017-04-09,9,False
2017-04-16,10,False
2017-04-23,9,False
2017-04-30,10,False
2017-05-07,9,False
2017-05-14,12,False
2017-05-21,11,False
2017-05-28,10,False
2017-06-04,6,False
2017-06-11,10,False
2017-06-18,10,False
2017-06-25,10,False
2017-07-02,10,False
2017-07-09,12,False
2017-07-16,11,False
2017-07-23,13,False
2017-07-30,12,False
2017-08-06,10,False
2017-08-13,11,False
2017-08-20,11,False
2017-08-27,12,False
2017-09-03,13,False
2017-09-10,11,False
2017-09-17,15,False
2017-09-24,16,False
2017-10-01,12,False
2017-10-08,16,False
2017-10-15,18,False
2017-10-22,19,False
2017-10-29,26,False
2017-11-05,35,False
2017-11-12,45,False
2017-11-19,51,False
2017-11-26,76,False
2017-12-03,100,False
2017-12-10,94,False
2017-12-17,95,True
