date,Bitmark,isPartial
2016-12-25,12,False
2017-01-01,33,False
2017-01-08,0,False
2017-01-15,10,False
2017-01-22,10,False
2017-01-29,20,False
2017-02-05,20,False
2017-02-12,10,False
2017-02-19,20,False
2017-02-26,50,False
2017-03-05,10,False
2017-03-12,20,False
2017-03-19,20,False
2017-03-26,31,False
2017-04-02,10,False
2017-04-09,21,False
2017-04-16,20,False
2017-04-23,40,False
2017-04-30,31,False
2017-05-07,31,False
2017-05-14,11,False
2017-05-21,78,False
2017-05-28,99,False
2017-06-04,21,False
2017-06-11,0,False
2017-06-18,11,False
2017-06-25,22,False
2017-07-02,33,False
2017-07-09,0,False
2017-07-16,11,False
2017-07-23,0,False
2017-07-30,21,False
2017-08-06,11,False
2017-08-13,21,False
2017-08-20,32,False
2017-08-27,64,False
2017-09-03,31,False
2017-09-10,21,False
2017-09-17,21,False
2017-09-24,10,False
2017-10-01,31,False
2017-10-08,0,False
2017-10-15,10,False
2017-10-22,31,False
2017-10-29,20,False
2017-11-05,30,False
2017-11-12,30,False
2017-11-19,10,False
2017-11-26,39,False
2017-12-03,70,False
2017-12-10,100,False
2017-12-17,71,True
