date,Bitcoin 21,isPartial
2016-12-25,6,False
2017-01-01,5,False
2017-01-08,11,False
2017-01-15,6,False
2017-01-22,9,False
2017-01-29,7,False
2017-02-05,3,False
2017-02-12,6,False
2017-02-19,5,False
2017-02-26,8,False
2017-03-05,5,False
2017-03-12,5,False
2017-03-19,3,False
2017-03-26,6,False
2017-04-02,2,False
2017-04-09,2,False
2017-04-16,8,False
2017-04-23,5,False
2017-04-30,15,False
2017-05-07,13,False
2017-05-14,11,False
2017-05-21,21,False
2017-05-28,11,False
2017-06-04,16,False
2017-06-11,18,False
2017-06-18,17,False
2017-06-25,17,False
2017-07-02,10,False
2017-07-09,12,False
2017-07-16,11,False
2017-07-23,13,False
2017-07-30,14,False
2017-08-06,11,False
2017-08-13,33,False
2017-08-20,28,False
2017-08-27,31,False
2017-09-03,13,False
2017-09-10,24,False
2017-09-17,18,False
2017-09-24,5,False
2017-10-01,13,False
2017-10-08,18,False
2017-10-15,23,False
2017-10-22,15,False
2017-10-29,29,False
2017-11-05,23,False
2017-11-12,28,False
2017-11-19,26,False
2017-11-26,66,False
2017-12-03,82,False
2017-12-10,80,False
2017-12-17,100,True
