date,Ethereum Classic,isPartial
2016-12-25,8,False
2017-01-01,7,False
2017-01-08,6,False
2017-01-15,7,False
2017-01-22,2,False
2017-01-29,3,False
2017-02-05,3,False
2017-02-12,2,False
2017-02-19,5,False
2017-02-26,6,False
2017-03-05,2,False
2017-03-12,10,False
2017-03-19,12,False
2017-03-26,8,False
2017-04-02,9,False
2017-04-09,4,False
2017-04-16,7,False
2017-04-23,21,False
2017-04-30,29,False
2017-05-07,9,False
2017-05-14,13,False
2017-05-21,72,False
2017-05-28,46,False
2017-06-04,36,False
2017-06-11,79,False
2017-06-18,50,False
2017-06-25,52,False
2017-07-02,35,False
2017-07-09,39,False
2017-07-16,37,False
2017-07-23,28,False
2017-07-30,27,False
2017-08-06,21,False
2017-08-13,19,False
2017-08-20,39,False
2017-08-27,36,False
2017-09-03,23,False
2017-09-10,17,False
2017-09-17,14,False
2017-09-24,19,False
2017-10-01,19,False
2017-10-08,14,False
2017-10-15,13,False
2017-10-22,16,False
2017-10-29,21,False
2017-11-05,44,False
2017-11-12,52,False
2017-11-19,31,False
2017-11-26,100,False
2017-12-03,62,False
2017-12-10,98,False
2017-12-17,91,True
