date,MACRON,isPartial
2016-12-25,1,False
2017-01-01,2,False
2017-01-08,2,False
2017-01-15,3,False
2017-01-22,4,False
2017-01-29,6,False
2017-02-05,7,False
2017-02-12,4,False
2017-02-19,5,False
2017-02-26,8,False
2017-03-05,7,False
2017-03-12,7,False
2017-03-19,9,False
2017-03-26,7,False
2017-04-02,8,False
2017-04-09,7,False
2017-04-16,14,False
2017-04-23,74,False
2017-04-30,44,False
2017-05-07,100,False
2017-05-14,50,False
2017-05-21,13,False
2017-05-28,15,False
2017-06-04,8,False
2017-06-11,9,False
2017-06-18,8,False
2017-06-25,8,False
2017-07-02,8,False
2017-07-09,16,False
2017-07-16,9,False
2017-07-23,6,False
2017-07-30,5,False
2017-08-06,5,False
2017-08-13,5,False
2017-08-20,5,False
2017-08-27,6,False
2017-09-03,5,False
2017-09-10,5,False
2017-09-17,5,False
2017-09-24,5,False
2017-10-01,4,False
2017-10-08,3,False
2017-10-15,6,False
2017-10-22,4,False
2017-10-29,3,False
2017-11-05,4,False
2017-11-12,4,False
2017-11-19,4,False
2017-11-26,5,False
2017-12-03,5,False
2017-12-10,4,False
2017-12-17,5,True
