date,ZClassic,isPartial
2016-12-25,9,False
2017-01-01,4,False
2017-01-08,17,False
2017-01-15,4,False
2017-01-22,25,False
2017-01-29,4,False
2017-02-05,8,False
2017-02-12,8,False
2017-02-19,4,False
2017-02-26,16,False
2017-03-05,20,False
2017-03-12,48,False
2017-03-19,16,False
2017-03-26,12,False
2017-04-02,20,False
2017-04-09,25,False
2017-04-16,32,False
2017-04-23,8,False
2017-04-30,21,False
2017-05-07,37,False
2017-05-14,77,False
2017-05-21,18,False
2017-05-28,31,False
2017-06-04,42,False
2017-06-11,13,False
2017-06-18,34,False
2017-06-25,36,False
2017-07-02,36,False
2017-07-09,17,False
2017-07-16,18,False
2017-07-23,13,False
2017-07-30,13,False
2017-08-06,8,False
2017-08-13,4,False
2017-08-20,42,False
2017-08-27,47,False
2017-09-03,8,False
2017-09-10,4,False
2017-09-17,12,False
2017-09-24,25,False
2017-10-01,21,False
2017-10-08,8,False
2017-10-15,8,False
2017-10-22,28,False
2017-10-29,25,False
2017-11-05,12,False
2017-11-12,24,False
2017-11-19,20,False
2017-11-26,24,False
2017-12-03,16,False
2017-12-10,100,False
2017-12-17,28,True
