date,BritCoin,isPartial
2016-12-25,7,False
2017-01-01,0,False
2017-01-08,6,False
2017-01-15,6,False
2017-01-22,6,False
2017-01-29,0,False
2017-02-05,0,False
2017-02-12,0,False
2017-02-19,0,False
2017-02-26,6,False
2017-03-05,0,False
2017-03-12,0,False
2017-03-19,0,False
2017-03-26,12,False
2017-04-02,0,False
2017-04-09,6,False
2017-04-16,0,False
2017-04-23,0,False
2017-04-30,12,False
2017-05-07,0,False
2017-05-14,0,False
2017-05-21,7,False
2017-05-28,6,False
2017-06-04,13,False
2017-06-11,13,False
2017-06-18,6,False
2017-06-25,20,False
2017-07-02,0,False
2017-07-09,6,False
2017-07-16,7,False
2017-07-23,0,False
2017-07-30,12,False
2017-08-06,19,False
2017-08-13,6,False
2017-08-20,12,False
2017-08-27,13,False
2017-09-03,18,False
2017-09-10,18,False
2017-09-17,30,False
2017-09-24,12,False
2017-10-01,6,False
2017-10-08,18,False
2017-10-15,36,False
2017-10-22,18,False
2017-10-29,36,False
2017-11-05,29,False
2017-11-12,47,False
2017-11-19,41,False
2017-11-26,17,False
2017-12-03,76,False
2017-12-10,100,False
2017-12-17,50,True
