date,VeriCoin,isPartial
2016-12-25,0,False
2017-01-01,0,False
2017-01-08,3,False
2017-01-15,3,False
2017-01-22,3,False
2017-01-29,8,False
2017-02-05,3,False
2017-02-12,0,False
2017-02-19,5,False
2017-02-26,0,False
2017-03-05,5,False
2017-03-12,0,False
2017-03-19,3,False
2017-03-26,3,False
2017-04-02,5,False
2017-04-09,3,False
2017-04-16,8,False
2017-04-23,5,False
2017-04-30,5,False
2017-05-07,5,False
2017-05-14,3,False
2017-05-21,17,False
2017-05-28,17,False
2017-06-04,11,False
2017-06-11,26,False
2017-06-18,22,False
2017-06-25,35,False
2017-07-02,38,False
2017-07-09,6,False
2017-07-16,15,False
2017-07-23,6,False
2017-07-30,3,False
2017-08-06,6,False
2017-08-13,14,False
2017-08-20,14,False
2017-08-27,8,False
2017-09-03,25,False
2017-09-10,5,False
2017-09-17,3,False
2017-09-24,5,False
2017-10-01,14,False
2017-10-08,16,False
2017-10-15,5,False
2017-10-22,11,False
2017-10-29,43,False
2017-11-05,60,False
2017-11-12,13,False
2017-11-19,18,False
2017-11-26,23,False
2017-12-03,29,False
2017-12-10,68,False
2017-12-17,100,True
