date,Bitcoin Plus,isPartial
2016-12-25,3,False
2017-01-01,6,False
2017-01-08,6,False
2017-01-15,5,False
2017-01-22,3,False
2017-01-29,4,False
2017-02-05,4,False
2017-02-12,4,False
2017-02-19,6,False
2017-02-26,4,False
2017-03-05,5,False
2017-03-12,5,False
2017-03-19,4,False
2017-03-26,27,False
2017-04-02,6,False
2017-04-09,4,False
2017-04-16,8,False
2017-04-23,6,False
2017-04-30,12,False
2017-05-07,17,False
2017-05-14,14,False
2017-05-21,19,False
2017-05-28,12,False
2017-06-04,10,False
2017-06-11,13,False
2017-06-18,14,False
2017-06-25,32,False
2017-07-02,10,False
2017-07-09,11,False
2017-07-16,11,False
2017-07-23,15,False
2017-07-30,11,False
2017-08-06,13,False
2017-08-13,21,False
2017-08-20,16,False
2017-08-27,19,False
2017-09-03,18,False
2017-09-10,19,False
2017-09-17,17,False
2017-09-24,17,False
2017-10-01,15,False
2017-10-08,21,False
2017-10-15,24,False
2017-10-22,22,False
2017-10-29,30,False
2017-11-05,46,False
2017-11-12,41,False
2017-11-19,41,False
2017-11-26,79,False
2017-12-03,89,False
2017-12-10,89,False
2017-12-17,100,True
