date,FedoraCoin,isPartial
2016-12-25,0,False
2017-01-01,0,False
2017-01-08,0,False
2017-01-15,0,False
2017-01-22,0,False
2017-01-29,0,False
2017-02-05,5,False
2017-02-12,0,False
2017-02-19,0,False
2017-02-26,0,False
2017-03-05,0,False
2017-03-12,5,False
2017-03-19,0,False
2017-03-26,0,False
2017-04-02,0,False
2017-04-09,0,False
2017-04-16,0,False
2017-04-23,10,False
2017-04-30,5,False
2017-05-07,0,False
2017-05-14,0,False
2017-05-21,37,False
2017-05-28,5,False
2017-06-04,20,False
2017-06-11,46,False
2017-06-18,10,False
2017-06-25,5,False
2017-07-02,0,False
2017-07-09,0,False
2017-07-16,11,False
2017-07-23,10,False
2017-07-30,0,False
2017-08-06,15,False
2017-08-13,5,False
2017-08-20,30,False
2017-08-27,10,False
2017-09-03,10,False
2017-09-10,10,False
2017-09-17,10,False
2017-09-24,15,False
2017-10-01,5,False
2017-10-08,10,False
2017-10-15,24,False
2017-10-22,5,False
2017-10-29,14,False
2017-11-05,5,False
2017-11-12,19,False
2017-11-19,23,False
2017-11-26,51,False
2017-12-03,66,False
2017-12-10,57,False
2017-12-17,100,True
