date,Stress,isPartial
2016-12-25,62,False
2017-01-01,74,False
2017-01-08,82,False
2017-01-15,85,False
2017-01-22,88,False
2017-01-29,91,False
2017-02-05,89,False
2017-02-12,88,False
2017-02-19,91,False
2017-02-26,95,False
2017-03-05,94,False
2017-03-12,92,False
2017-03-19,95,False
2017-03-26,95,False
2017-04-02,95,False
2017-04-09,90,False
2017-04-16,91,False
2017-04-23,100,False
2017-04-30,97,False
2017-05-07,94,False
2017-05-14,93,False
2017-05-21,84,False
2017-05-28,79,False
2017-06-04,80,False
2017-06-11,80,False
2017-06-18,78,False
2017-06-25,76,False
2017-07-02,73,False
2017-07-09,77,False
2017-07-16,76,False
2017-07-23,78,False
2017-07-30,80,False
2017-08-06,78,False
2017-08-13,74,False
2017-08-20,81,False
2017-08-27,76,False
2017-09-03,85,False
2017-09-10,88,False
2017-09-17,89,False
2017-09-24,88,False
2017-10-01,91,False
2017-10-08,93,False
2017-10-15,94,False
2017-10-22,96,False
2017-10-29,92,False
2017-11-05,95,False
2017-11-12,99,False
2017-11-19,86,False
2017-11-26,98,False
2017-12-03,99,False
2017-12-10,90,False
2017-12-17,81,True
