date,Dashcoin,isPartial
2016-12-25,3,False
2017-01-01,8,False
2017-01-08,4,False
2017-01-15,11,False
2017-01-22,4,False
2017-01-29,8,False
2017-02-05,9,False
2017-02-12,4,False
2017-02-19,6,False
2017-02-26,16,False
2017-03-05,19,False
2017-03-12,27,False
2017-03-19,26,False
2017-03-26,11,False
2017-04-02,13,False
2017-04-09,13,False
2017-04-16,16,False
2017-04-23,11,False
2017-04-30,18,False
2017-05-07,9,False
2017-05-14,13,False
2017-05-21,22,False
2017-05-28,13,False
2017-06-04,18,False
2017-06-11,21,False
2017-06-18,20,False
2017-06-25,26,False
2017-07-02,26,False
2017-07-09,23,False
2017-07-16,19,False
2017-07-23,23,False
2017-07-30,25,False
2017-08-06,25,False
2017-08-13,29,False
2017-08-20,23,False
2017-08-27,31,False
2017-09-03,28,False
2017-09-10,22,False
2017-09-17,24,False
2017-09-24,24,False
2017-10-01,16,False
2017-10-08,22,False
2017-10-15,22,False
2017-10-22,19,False
2017-10-29,23,False
2017-11-05,29,False
2017-11-12,39,False
2017-11-19,50,False
2017-11-26,56,False
2017-12-03,68,False
2017-12-10,98,False
2017-12-17,100,True
