date,Lisk,isPartial
2016-12-25,5,False
2017-01-01,5,False
2017-01-08,5,False
2017-01-15,4,False
2017-01-22,5,False
2017-01-29,5,False
2017-02-05,5,False
2017-02-12,4,False
2017-02-19,2,False
2017-02-26,7,False
2017-03-05,5,False
2017-03-12,7,False
2017-03-19,7,False
2017-03-26,6,False
2017-04-02,6,False
2017-04-09,4,False
2017-04-16,7,False
2017-04-23,5,False
2017-04-30,7,False
2017-05-07,7,False
2017-05-14,5,False
2017-05-21,12,False
2017-05-28,11,False
2017-06-04,24,False
2017-06-11,23,False
2017-06-18,17,False
2017-06-25,12,False
2017-07-02,13,False
2017-07-09,13,False
2017-07-16,14,False
2017-07-23,9,False
2017-07-30,12,False
2017-08-06,10,False
2017-08-13,17,False
2017-08-20,46,False
2017-08-27,60,False
2017-09-03,41,False
2017-09-10,25,False
2017-09-17,23,False
2017-09-24,23,False
2017-10-01,27,False
2017-10-08,23,False
2017-10-15,22,False
2017-10-22,20,False
2017-10-29,20,False
2017-11-05,31,False
2017-11-12,66,False
2017-11-19,71,False
2017-11-26,43,False
2017-12-03,49,False
2017-12-10,50,False
2017-12-17,100,True
