date,Social Send,isPartial
2016-12-25,65,False
2017-01-01,66,False
2017-01-08,77,False
2017-01-15,100,False
2017-01-22,100,False
2017-01-29,98,False
2017-02-05,86,False
2017-02-12,80,False
2017-02-19,77,False
2017-02-26,84,False
2017-03-05,82,False
2017-03-12,74,False
2017-03-19,79,False
2017-03-26,73,False
2017-04-02,73,False
2017-04-09,100,False
2017-04-16,80,False
2017-04-23,69,False
2017-04-30,73,False
2017-05-07,87,False
2017-05-14,70,False
2017-05-21,65,False
2017-05-28,44,False
2017-06-04,66,False
2017-06-11,57,False
2017-06-18,61,False
2017-06-25,65,False
2017-07-02,59,False
2017-07-09,67,False
2017-07-16,77,False
2017-07-23,61,False
2017-07-30,64,False
2017-08-06,55,False
2017-08-13,76,False
2017-08-20,74,False
2017-08-27,74,False
2017-09-03,60,False
2017-09-10,79,False
2017-09-17,90,False
2017-09-24,61,False
2017-10-01,80,False
2017-10-08,75,False
2017-10-15,67,False
2017-10-22,67,False
2017-10-29,83,False
2017-11-05,66,False
2017-11-12,65,False
2017-11-19,54,False
2017-11-26,78,False
2017-12-03,83,False
2017-12-10,89,False
2017-12-17,72,True
