date,CloakCoin,isPartial
2016-12-25,0,False
2017-01-01,0,False
2017-01-08,0,False
2017-01-15,0,False
2017-01-22,0,False
2017-01-29,0,False
2017-02-05,0,False
2017-02-12,0,False
2017-02-19,5,False
2017-02-26,0,False
2017-03-05,25,False
2017-03-12,5,False
2017-03-19,5,False
2017-03-26,0,False
2017-04-02,5,False
2017-04-09,5,False
2017-04-16,0,False
2017-04-23,0,False
2017-04-30,0,False
2017-05-07,0,False
2017-05-14,5,False
2017-05-21,0,False
2017-05-28,5,False
2017-06-04,63,False
2017-06-11,92,False
2017-06-18,58,False
2017-06-25,100,False
2017-07-02,33,False
2017-07-09,11,False
2017-07-16,56,False
2017-07-23,5,False
2017-07-30,5,False
2017-08-06,26,False
2017-08-13,27,False
2017-08-20,21,False
2017-08-27,21,False
2017-09-03,57,False
2017-09-10,72,False
2017-09-17,57,False
2017-09-24,26,False
2017-10-01,15,False
2017-10-08,15,False
2017-10-15,20,False
2017-10-22,25,False
2017-10-29,10,False
2017-11-05,10,False
2017-11-12,15,False
2017-11-19,10,False
2017-11-26,39,False
2017-12-03,30,False
2017-12-10,45,False
2017-12-17,56,True
