date,Ripple,isPartial
2017-01-01,3,False
2017-01-08,3,False
2017-01-15,3,False
2017-01-22,3,False
2017-01-29,3,False
2017-02-05,3,False
2017-02-12,3,False
2017-02-19,3,False
2017-02-26,3,False
2017-03-05,3,False
2017-03-12,4,False
2017-03-19,4,False
2017-03-26,4,False
2017-04-02,5,False
2017-04-09,4,False
2017-04-16,4,False
2017-04-23,4,False
2017-04-30,6,False
2017-05-07,8,False
2017-05-14,11,False
2017-05-21,11,False
2017-05-28,9,False
2017-06-04,8,False
2017-06-11,9,False
2017-06-18,9,False
2017-06-25,7,False
2017-07-02,6,False
2017-07-09,7,False
2017-07-16,7,False
2017-07-23,7,False
2017-07-30,6,False
2017-08-06,7,False
2017-08-13,8,False
2017-08-20,13,False
2017-08-27,11,False
2017-09-03,9,False
2017-09-10,8,False
2017-09-17,7,False
2017-09-24,7,False
2017-10-01,8,False
2017-10-08,11,False
2017-10-15,13,False
2017-10-22,9,False
2017-10-29,9,False
2017-11-05,10,False
2017-11-12,12,False
2017-11-19,13,False
2017-11-26,22,False
2017-12-03,24,False
2017-12-10,90,False
2017-12-17,100,False
2017-12-24,69,True
