date,GPU Coin,isPartial
2016-12-25,5,False
2017-01-01,8,False
2017-01-08,6,False
2017-01-15,6,False
2017-01-22,9,False
2017-01-29,9,False
2017-02-05,10,False
2017-02-12,6,False
2017-02-19,7,False
2017-02-26,7,False
2017-03-05,4,False
2017-03-12,17,False
2017-03-19,3,False
2017-03-26,9,False
2017-04-02,3,False
2017-04-09,6,False
2017-04-16,7,False
2017-04-23,10,False
2017-04-30,16,False
2017-05-07,13,False
2017-05-14,11,False
2017-05-21,16,False
2017-05-28,29,False
2017-06-04,37,False
2017-06-11,46,False
2017-06-18,48,False
2017-06-25,54,False
2017-07-02,35,False
2017-07-09,44,False
2017-07-16,27,False
2017-07-23,26,False
2017-07-30,21,False
2017-08-06,21,False
2017-08-13,25,False
2017-08-20,26,False
2017-08-27,41,False
2017-09-03,35,False
2017-09-10,16,False
2017-09-17,42,False
2017-09-24,24,False
2017-10-01,31,False
2017-10-08,22,False
2017-10-15,24,False
2017-10-22,27,False
2017-10-29,29,False
2017-11-05,43,False
2017-11-12,23,False
2017-11-19,36,False
2017-11-26,41,False
2017-12-03,71,False
2017-12-10,78,False
2017-12-17,100,True
