date,Dogecoin,isPartial
2016-12-25,4,False
2017-01-01,7,False
2017-01-08,5,False
2017-01-15,5,False
2017-01-22,5,False
2017-01-29,6,False
2017-02-05,5,False
2017-02-12,4,False
2017-02-19,5,False
2017-02-26,7,False
2017-03-05,6,False
2017-03-12,5,False
2017-03-19,7,False
2017-03-26,6,False
2017-04-02,7,False
2017-04-09,7,False
2017-04-16,5,False
2017-04-23,8,False
2017-04-30,10,False
2017-05-07,14,False
2017-05-14,11,False
2017-05-21,30,False
2017-05-28,17,False
2017-06-04,20,False
2017-06-11,19,False
2017-06-18,18,False
2017-06-25,17,False
2017-07-02,14,False
2017-07-09,13,False
2017-07-16,15,False
2017-07-23,13,False
2017-07-30,13,False
2017-08-06,13,False
2017-08-13,15,False
2017-08-20,15,False
2017-08-27,19,False
2017-09-03,16,False
2017-09-10,16,False
2017-09-17,16,False
2017-09-24,14,False
2017-10-01,13,False
2017-10-08,15,False
2017-10-15,17,False
2017-10-22,16,False
2017-10-29,18,False
2017-11-05,20,False
2017-11-12,19,False
2017-11-19,26,False
2017-11-26,34,False
2017-12-03,42,False
2017-12-10,72,False
2017-12-17,100,True
